neutral	outlier_pcadapt	outlier_outflanck	outlier_bayescan
AX-578175317	AX-578101525	AX-578195992	AX-578101525
AX-578175318	AX-578180795	AX-578163198	AX-578180795
AX-578203697	AX-578101529	AX-578081532	AX-578101529
AX-578154245	AX-578156059	AX-578130169	AX-578156059
AX-578151082	AX-578109013	AX-578176231	AX-578109013
AX-578230296	AX-578228275	AX-578130647	AX-578228275
AX-578197063	AX-578231108	AX-578198666	AX-578231108
AX-578114623	AX-578117635	AX-578206128	AX-578117635
AX-578193871	AX-578136325	AX-578087360	AX-578136325
AX-578114627	AX-578215460		AX-578215460
AX-578114628	AX-578136252		AX-578136252
AX-578194951	AX-578188616		AX-578188616
AX-578115710	AX-578101893		AX-578101893
AX-578129125	AX-578200644		AX-578200644
AX-578129126	AX-578220974		AX-578220974
AX-578235675	AX-578098494		AX-578098494
AX-578208337	AX-578219329		AX-578219329
AX-578193766	AX-578095247		AX-578095247
AX-578172943	AX-578174540		AX-578174540
AX-578206555	AX-578146631		AX-578146631
AX-578206557	AX-578146632		AX-578146632
AX-578213902	AX-578220862		AX-578220862
AX-578168637	AX-578166682		AX-578166682
AX-578168638	AX-578235723		AX-578235723
AX-578168639	AX-578167378		AX-578167378
AX-578168640	AX-578170266		AX-578170266
AX-578199890	AX-578090977		AX-578090977
AX-578231641	AX-578094119		AX-578094119
AX-578152435	AX-578192671		AX-578192671
AX-578102292	AX-578234913		AX-578234913
AX-578117461	AX-578127589		AX-578127589
AX-578196703	AX-578182700		AX-578182700
AX-578117464	AX-578183915		AX-578183915
AX-578117455	AX-578151469		AX-578151469
AX-578117460	AX-578118596		AX-578118596
AX-578149857	AX-578083565		AX-578083565
AX-578149849	AX-578181078		AX-578181078
AX-578149850	AX-578181079		AX-578181079
AX-578134907	AX-578182989		AX-578182989
AX-578134908	AX-578102802		AX-578102802
AX-578214119	AX-578126554		AX-578126554
AX-578134910	AX-578234462		AX-578234462
AX-578134911	AX-578160643		AX-578160643
AX-578134912	AX-578195028		AX-578195028
AX-578134913	AX-578144929		AX-578144929
AX-578134914	AX-578144930		AX-578144930
AX-578134900	AX-578105148		AX-578105148
AX-578214111	AX-578088214		AX-578088214
AX-578162937	AX-578221667		AX-578221667
AX-578083631	AX-578133430		AX-578133430
AX-578103254	AX-578212644		AX-578212644
AX-578143983	AX-578103184		AX-578103184
AX-578124329	AX-578174921		AX-578174921
AX-578203558	AX-578225415		AX-578225415
AX-578154189	AX-578107738		AX-578107738
AX-578233397	AX-578186999		AX-578186999
AX-578154191	AX-578198303		AX-578198303
AX-578203561	AX-578201711		AX-578201711
AX-578203563	AX-578157726		AX-578157726
AX-578233400	AX-578224753		AX-578224753
AX-578124337	AX-578207989		AX-578207989
AX-578124338	AX-578237645		AX-578237645
AX-578154195	AX-578132238		AX-578132238
AX-578233403	AX-578220871		AX-578220871
AX-578203569	AX-578141666		AX-578141666
AX-578154197	AX-578087346		AX-578087346
AX-578233406	AX-578202437		AX-578202437
AX-578233407	AX-578116285		AX-578116285
AX-578154201	AX-578146112		AX-578146112
AX-578124343	AX-578199559		AX-578199559
AX-578154202	AX-578222152		AX-578222152
AX-578154203	AX-578222153		AX-578222153
AX-578203572	AX-578142947		AX-578142947
AX-578124347	AX-578142948		AX-578142948
AX-578124350	AX-578142950		AX-578142950
AX-578124352	AX-578095079		AX-578095079
AX-578084761	AX-578191613		AX-578191613
AX-578160241	AX-578167274		AX-578167274
AX-578193615	AX-578147912		AX-578147912
AX-578193620	AX-578190541		AX-578190541
AX-578193622	AX-578085586		AX-578085586
AX-578193623	AX-578135795		AX-578135795
AX-578134377	AX-578132013		AX-578132013
AX-578082526	AX-578138910		AX-578138910
AX-578161838	AX-578155327		AX-578155327
AX-578134375	AX-578234542		AX-578234542
AX-578134376	AX-578155335		AX-578155335
AX-578160426	AX-578155337		AX-578155337
AX-578219646	AX-578150357		AX-578150357
AX-578140439	AX-578177014		AX-578177014
AX-578140440	AX-578192506		AX-578192506
AX-578153146	AX-578214749		AX-578214749
AX-578201328	AX-578084943		AX-578084943
AX-578122098	AX-578210450		AX-578210450
AX-578232354	AX-578236750		AX-578236750
AX-578235925	AX-578190222		AX-578190222
AX-578235926	AX-578110973		AX-578110973
AX-578147201	AX-578147439		AX-578147439
AX-578109816	AX-578156087		AX-578156087
AX-578189074	AX-578085185		AX-578085185
AX-578109800	AX-578232805		AX-578232805
AX-578109802	AX-578210777		AX-578210777
AX-578147192	AX-578100449		AX-578100449
AX-578147193	AX-578186774		AX-578186774
AX-578147194	AX-578167908		AX-578167908
AX-578147195	AX-578129344		AX-578129344
AX-578147196	AX-578129345		AX-578129345
AX-578109808	AX-578220540		AX-578220540
AX-578108123	AX-578150287		AX-578150287
AX-578187379	AX-578195382		AX-578195382
AX-578108119	AX-578195372		AX-578195372
AX-578120618	AX-578228105		AX-578228105
AX-578231630	AX-578145024		AX-578145024
AX-578120622	AX-578210700		AX-578210700
AX-578199859	AX-578091460		AX-578091460
AX-578133209	AX-578180671		AX-578180671
AX-578212427	AX-578173878		AX-578173878
AX-578212428	AX-578094597		AX-578094597
AX-578237714	AX-578118235		AX-578118235
AX-578158504	AX-578203050		AX-578203050
AX-578237716	AX-578189906		AX-578189906
AX-578133207	AX-578218139		AX-578218139
AX-578158492	AX-578196148		AX-578196148
AX-578158494	AX-578134139		AX-578134139
AX-578158495	AX-578116470		AX-578116470
AX-578212431	AX-578165917		AX-578165917
AX-578158498	AX-578176118		AX-578176118
AX-578158499	AX-578096842		AX-578096842
AX-578150448	AX-578158478		AX-578158478
AX-578224136	AX-578208955		AX-578208955
AX-578117084	AX-578128612		AX-578128612
AX-578113582	AX-578185170		AX-578185170
AX-578113583	AX-578128607		AX-578128607
AX-578113586	AX-578103547		AX-578103547
AX-578113575	AX-578155098		AX-578155098
AX-578113576	AX-578205411		AX-578205411
AX-578144999	AX-578205413		AX-578205413
AX-578145000	AX-578182527		AX-578182527
AX-578184382	AX-578174367		AX-578174367
AX-578144917	AX-578095088		AX-578095088
AX-578224126	AX-578219267		AX-578219267
AX-578144922	AX-578174369		AX-578174369
AX-578184370	AX-578200943		AX-578200943
AX-578105109	AX-578089709		AX-578089709
AX-578184375	AX-578090131		AX-578090131
AX-578147283	AX-578147508		AX-578147508
AX-578189231	AX-578147511		AX-578147511
AX-578226492	AX-578187667		AX-578187667
AX-578109967	AX-578169816		AX-578169816
AX-578189225	AX-578227984		AX-578227984
AX-578080248	AX-578145258		AX-578145258
AX-578135949	AX-578093554		AX-578093554
AX-578135950	AX-578186466		AX-578186466
AX-578165184	AX-578184260		AX-578184260
AX-578165188	AX-578104999		AX-578104999
AX-578085895	AX-578224074		AX-578224074
AX-578085897	AX-578123462		AX-578123462
AX-578085898	AX-578190461		AX-578190461
AX-578165200	AX-578180821		AX-578180821
AX-578215162	AX-578194403		AX-578194403
AX-578165201	AX-578092271		AX-578092271
AX-578113452	AX-578211120		AX-578211120
AX-578228149	AX-578207394		AX-578207394
AX-578228150	AX-578207395		AX-578207395
AX-578148943	AX-578235227		AX-578235227
AX-578113446	AX-578235221		AX-578235221
AX-578115190	AX-578214548		AX-578214548
AX-578229041	AX-578084481		AX-578084481
AX-578149834	AX-578231857		AX-578231857
AX-578194436	AX-578138651		AX-578138651
AX-578216319	AX-578171205		AX-578171205
AX-578088470	AX-578091925		AX-578091925
AX-578167757	AX-578082690		AX-578082690
AX-578088468	AX-578188009		AX-578188009
AX-578113439	AX-578155908		AX-578155908
AX-578113441	AX-578155909		AX-578155909
AX-578113442	AX-578155910		AX-578155910
AX-578192694	AX-578129498		AX-578129498
AX-578159577	AX-578121418		AX-578121418
AX-578175749	AX-578105264		AX-578105264
AX-578096472	AX-578104053		AX-578104053
AX-578140702	AX-578235012		AX-578235012
AX-578096473	AX-578211175		AX-578211175
AX-578219911	AX-578084252		AX-578084252
AX-578140704	AX-578143897		AX-578143897
AX-578142642	AX-578223110		AX-578223110
AX-578100312	AX-578223112		AX-578223112
AX-578221851	AX-578177968		AX-578177968
AX-578142644	AX-578101958		AX-578101958
AX-578221853	AX-578144659		AX-578144659
AX-578176556	AX-578124555		AX-578124555
AX-578097275	AX-578162491		AX-578162491
AX-578141124	AX-578231224		AX-578231224
AX-578097269	AX-578145445		AX-578145445
AX-578097272	AX-578082323		AX-578082323
AX-578141125	AX-578225424		AX-578225424
AX-578141126	AX-578200463		AX-578200463
AX-578220335	AX-578191225		AX-578191225
AX-578141130	AX-578115453		AX-578115453
AX-578220339	AX-578142323		AX-578142323
AX-578141132	AX-578120256		AX-578120256
AX-578207407	AX-578218632		AX-578218632
AX-578128194	AX-578152557		AX-578152557
AX-578198487	AX-578116699		AX-578116699
AX-578119249	AX-578215822		AX-578215822
AX-578119251	AX-578181386		AX-578181386
AX-578164148	AX-578167809		AX-578167809
AX-578133988	AX-578153915		AX-578153915
AX-578230897	AX-578156437		AX-578156437
AX-578230898	AX-578235648		AX-578235648
AX-578146808	AX-578129077		AX-578129077
AX-578146802	AX-578129823		AX-578129823
AX-578188232	AX-578102354		AX-578102354
AX-578108976	AX-578214230		AX-578214230
AX-578226017	AX-578231757		AX-578231757
AX-578188225	AX-578152553		AX-578152553
AX-578146804	AX-578121707		AX-578121707
AX-578146805	AX-578200941		AX-578200941
AX-578188226	AX-578200942		AX-578200942
AX-578159947	AX-578235763		AX-578235763
AX-578146024	AX-578145876		AX-578145876
AX-578186599	AX-578155378		AX-578155378
AX-578179817	AX-578232665		AX-578232665
AX-578221935	AX-578137591		AX-578137591
AX-578160484	AX-578158013		AX-578158013
AX-578198376	AX-578158014		AX-578158014
AX-578233415	AX-578237229		AX-578237229
AX-578124369	AX-578155667		AX-578155667
AX-578203599	AX-578215936		AX-578215936
AX-578160413	AX-578234759		AX-578234759
AX-578088254	AX-578155552		AX-578155552
AX-578088544	AX-578154751		AX-578154751
AX-578088549	AX-578136841		AX-578136841
AX-578167840	AX-578215438		AX-578215438
AX-578139051	AX-578215439		AX-578215439
AX-578172151	AX-578226292		AX-578226292
AX-578092868	AX-578222898		AX-578222898
AX-578139050	AX-578136872		AX-578136872
AX-578139046	AX-578147227		AX-578147227
AX-578092847	AX-578226436		AX-578226436
AX-578092848	AX-578134443		AX-578134443
AX-578218256	AX-578153917		AX-578153917
AX-578092855	AX-578165947		AX-578142421
AX-578218260	AX-578197771		AX-578081125
AX-578218261	AX-578170647		AX-578160451
AX-578172145	AX-578195992		AX-578081140
AX-578160419	AX-578163198		AX-578081141
AX-578197649	AX-578081532		AX-578160455
AX-578197650	AX-578130169		AX-578160457
AX-578197651	AX-578176231		AX-578189547
AX-578151362	AX-578130647		AX-578127558
AX-578118417	AX-578198666		AX-578234907
AX-578197658	AX-578206128		AX-578222067
AX-578197659	AX-578158311		AX-578132824
AX-578081164	AX-578226014		AX-578237521
AX-578140068	AX-578159998		AX-578181054
AX-578140072	AX-578089124		AX-578226154
AX-578140073	AX-578201589		AX-578215098
AX-578219282	AX-578193344		AX-578135890
AX-578174389	AX-578185967		AX-578085784
AX-578140076	AX-578146985		AX-578085785
AX-578115321	AX-578163510		AX-578199886
AX-578115320	AX-578204957		AX-578152436
AX-578229911	AX-578122288		AX-578120652
AX-578223207	AX-578153236		AX-578222762
AX-578223208	AX-578197772		AX-578102290
AX-578144002	AX-578118533		AX-578149852
AX-578223210	AX-578174542		AX-578149853
AX-578143995	AX-578095266		AX-578143985
AX-578223203	AX-578118111		AX-578154204
AX-578143997	AX-578128119		AX-578203581
AX-578182545	AX-578180355		AX-578152218
AX-578130089	AX-578142686		AX-578152219
AX-578209310	AX-578198255		AX-578184402
AX-578130093	AX-578152663		AX-578224209
AX-578080905	AX-578226801		AX-578215157
AX-578233659	AX-578147595		AX-578135951
AX-578233657	AX-578183449		AX-578133060
AX-578124893	AX-578124085		AX-578081671
AX-578204120	AX-578170994		AX-578081170
AX-578204121	AX-578202204		AX-578106949
AX-578233661	AX-578177262		AX-578186212
AX-578154455	AX-578177260		AX-578106951
AX-578233663	AX-578116751		AX-578193865
AX-578154457	AX-578147859		AX-578208374
AX-578124896	AX-578201769		AX-578112606
AX-578124897	AX-578178657		AX-578191874
AX-578154459	AX-578187760		AX-578191882
AX-578124886	AX-578092260		AX-578087555
AX-578204114	AX-578220868		AX-578136682
AX-578154453	AX-578177565		AX-578087556
AX-578204117	AX-578121499		AX-578149588
AX-578198860	AX-578173962		AX-578221234
AX-578197615	AX-578197759		AX-578151309
AX-578151349	AX-578170353		AX-578111254
AX-578152197	AX-578116424		AX-578190508
AX-578120102	AX-578116289		AX-578142677
AX-578081178	AX-578147526		AX-578179670
AX-578149253	AX-578168538		AX-578229602
AX-578149251	AX-578096585		AX-578150395
AX-578169230	AX-578222157		AX-578186297
AX-578089945	AX-578142951		AX-578186300
AX-578080686	AX-578192134		AX-578131861
AX-578199130	AX-578126731		AX-578176885
AX-578152093	AX-578098954		AX-578214594
AX-578204668	AX-578123067		AX-578135389
AX-578125447	AX-578085202		AX-578214599
AX-578125445	AX-578164982		AX-578163925
AX-578125449	AX-578176969		AX-578084617
AX-578141864	AX-578220545		AX-578233177
AX-578221072	AX-578093858		AX-578233178
AX-578141866	AX-578198617		AX-578230209
AX-578221074	AX-578166351		AX-578117602
AX-578141859	AX-578084500		AX-578117589
AX-578141860	AX-578216649		AX-578196830
AX-578221069	AX-578172826		AX-578230204
AX-578221070	AX-578176125		AX-578152953
AX-578184793	AX-578161804		AX-578173637
AX-578186207	AX-578103322		AX-578211520
AX-578145854	AX-578198907		AX-578150838
AX-578225063	AX-578098144		AX-578186132
AX-578186210	AX-578175819		AX-578137617
AX-578227003	AX-578175943		AX-578222276
AX-578147796	AX-578202268		AX-578139551
AX-578176758	AX-578164642		AX-578218760
AX-578097481	AX-578085341		AX-578218761
AX-578154910	AX-578172769		AX-578173225
AX-578125833	AX-578172775		AX-578093943
AX-578205063	AX-578207398		AX-578173230
AX-578205071	AX-578116124		AX-578216643
AX-578154902	AX-578174560		AX-578213541
AX-578205062	AX-578091603		AX-578082404
AX-578125836	AX-578129982		AX-578198694
AX-578125845	AX-578160585		AX-578151891
AX-578205077	AX-578182715		AX-578151893
AX-578154905	AX-578161255		AX-578151897
AX-578125850	AX-578119889		AX-578231107
AX-578125854	AX-578200979		AX-578198709
AX-578205084	AX-578124986		AX-578224200
AX-578205085	AX-578143908		AX-578224201
AX-578154908	AX-578110854		AX-578105271
AX-578234117	AX-578133601		AX-578144995
AX-578154912	AX-578129617		AX-578115574
AX-578125862	AX-578106477		AX-578175120
AX-578234121	AX-578119056		AX-578129209
AX-578125869	AX-578145097		AX-578156498
AX-578125870	AX-578099430		AX-578168757
AX-578234122	AX-578202153		AX-578155405
AX-578154917	AX-578173772		AX-578234614
AX-578234126	AX-578139820		AX-578204753
AX-578205099	AX-578168059		AX-578125525
AX-578159867	AX-578148828		AX-578204741
AX-578152568	AX-578095117		AX-578229210
AX-578093962	AX-578087315		AX-578178832
AX-578134118	AX-578136559		AX-578178833
AX-578213325	AX-578213655		AX-578109732
AX-578213327	AX-578205182		AX-578109731
AX-578138821	AX-578237590		AX-578091771
AX-578215888	AX-578172254		AX-578091790
AX-578136672	AX-578109874		AX-578081257
AX-578215882	AX-578196051		AX-578226984
AX-578166833	AX-578147080		AX-578230301
AX-578136674	AX-578231089		AX-578086477
AX-578136675			AX-578172886
AX-578136678			AX-578215536
AX-578087535			AX-578215527
AX-578204083			AX-578111304
AX-578233640			AX-578111307
AX-578096597			AX-578234262
AX-578140757			AX-578155055
AX-578236478			AX-578155056
AX-578236479			AX-578155057
AX-578236482			AX-578126117
AX-578236483			AX-578234266
AX-578157274			AX-578155060
AX-578130739			AX-578155048
AX-578130740			AX-578234257
AX-578157275			AX-578214847
AX-578157263			AX-578146364
AX-578130718			AX-578187312
AX-578130722			AX-578095742
AX-578130728			AX-578151440
AX-578157265			AX-578127658
AX-578157266			AX-578155730
AX-578209951			AX-578115883
AX-578209953			AX-578165955
AX-578193864			AX-578215459
AX-578111467			AX-578224873
AX-578190708			AX-578188617
AX-578111456			AX-578096376
AX-578190711			AX-578113364
AX-578111459			AX-578113371
AX-578081158			AX-578128124
AX-578111464			AX-578226701
AX-578157943			AX-578189634
AX-578237154			AX-578116061
AX-578237155			AX-578099296
AX-578211344			AX-578172522
AX-578132133			AX-578204970
AX-578237156			AX-578220403
AX-578178971			AX-578117993
AX-578099701			AX-578169189
AX-578221567			AX-578182742
AX-578208370			AX-578138646
AX-578129155			AX-578140975
AX-578156471			AX-578176265
AX-578160210			AX-578229434
AX-578197962			AX-578194641
AX-578197963			AX-578169519
AX-578197959			AX-578169516
AX-578118722			AX-578149050
AX-578151124			AX-578149052
AX-578230334			AX-578228251
AX-578197156			AX-578228252
AX-578197157			AX-578218328
AX-578230335			AX-578172287
AX-578151123			AX-578172292
AX-578096915			AX-578093010
AX-578226564			AX-578218326
AX-578189368			AX-578172305
AX-578110115			AX-578093022
AX-578226566			AX-578131060
AX-578171959			AX-578101902
AX-578148833			AX-578222575
AX-578192454			AX-578101899
AX-578192451			AX-578181672
AX-578192453			AX-578216915
AX-578227768			AX-578203392
AX-578227769			AX-578169062
AX-578227770			AX-578182468
AX-578227771			AX-578116411
AX-578227772			AX-578181685
AX-578227773			AX-578149827
AX-578191859			AX-578229036
AX-578227767			AX-578104438
AX-578112611			AX-578183700
AX-578112614			AX-578138305
AX-578112615			AX-578138306
AX-578191871			AX-578217515
AX-578191872			AX-578138308
AX-578191873			AX-578217517
AX-578112621			AX-578138310
AX-578191876			AX-578137665
AX-578191886			AX-578126243
AX-578112633			AX-578186168
AX-578128807			AX-578201515
AX-578208028			AX-578195419
AX-578235488			AX-578092670
AX-578128811			AX-578176610
AX-578128812			AX-578141161
AX-578208032			AX-578137627
AX-578128814			AX-578094845
AX-578081161			AX-578188500
AX-578113288			AX-578216539
AX-578080944			AX-578148211
AX-578102234			AX-578152317
AX-578181501			AX-578107852
AX-578137000			AX-578205990
AX-578216206			AX-578205991
AX-578216210			AX-578126755
AX-578216197			AX-578234560
AX-578088231			AX-578205983
AX-578216198			AX-578170042
AX-578167526			AX-578090764
AX-578136991			AX-578170051
AX-578136992			AX-578177344
AX-578167527			AX-578098073
AX-578088237			AX-578098074
AX-578159901			AX-578115798
AX-578155740			AX-578104092
AX-578155741			AX-578104097
AX-578222428			AX-578183363
AX-578180792			AX-578183365
AX-578212595			AX-578177761
AX-578178163			AX-578098495
AX-578178156			AX-578151203
AX-578098887			AX-578110209
AX-578178154			AX-578183325
AX-578223937			AX-578223617
AX-578183967			AX-578162910
AX-578144730			AX-578083594
AX-578183959			AX-578134874
AX-578183960			AX-578184053
AX-578104697			AX-578219330
AX-578104698			AX-578095257
AX-578183963			AX-578095259
AX-578227126			AX-578219334
AX-578227127			AX-578202729
AX-578147921			AX-578142696
AX-578147923			AX-578119317
AX-578147924			AX-578140042
AX-578087557			AX-578108546
AX-578087183			AX-578187808
AX-578166473			AX-578108557
AX-578136500			AX-578225838
AX-578215710			AX-578178526
AX-578139720			AX-578199676
AX-578218929			AX-578170906
AX-578094259			AX-578209900
AX-578094260			AX-578180186
AX-578094249			AX-578081590
AX-578218923			AX-578081592
AX-578139716			AX-578231145
AX-578218925			AX-578151939
AX-578218926			AX-578151941
AX-578139719			AX-578151942
AX-578083969			AX-578198792
AX-578135099			AX-578198794
AX-578163277			AX-578127958
AX-578237450			AX-578155443
AX-578175262			AX-578129364
AX-578095986			AX-578120747
AX-578095983			AX-578144704
AX-578193924			AX-578183900
AX-578193925			AX-578144699
AX-578228795			AX-578175428
AX-578228797			AX-578175429
